City
1007
11398
13800
2316
26310
3039
3218
3730
"42nd ""Rainbow"" Infantry Division Memorial Highway"
4858
51
65455
7199
77835
7914
Abbott
Abington
Albuquerque
Allentown
Amboy Road
Antares
Apple Valley
Beavercreek
Bethel Township
Bethlehem
Bicknell
Broken Arrow
Brush Creek Township
Bud
Bullhead City
Bullhead City–Kingman Highway
Cajon
Camp
Capps
Carrier Mills
Cedar Crest
Cedarville
Chief Rancho
Church Rock
Coburn
Continental Divide
Crookton Road
Crossville
Crozier
Dayton
Deckard-Y
Dexter
Donegal Township
Dublin Township
Eagle Nest
East Hanover Township
East Huntingdon Township
East Malone Avenue
Eldorado
Elizabeth Township
Eros
FM 1573
FM 281
FM 520
Fairdealing
Fairfield
Fayetteville
Flagstaff
Fontana
Fort Defiance Agency
Freedom
Frontage Road
Gallup
Gatewood
Glendora
Glenwood
Golden Valley
Grayridge
Grayville
Greenwich Township
Hackensack
Harmon
Henderson
Hennessey
Hesperia
Hibbard
Hitt
Holbrook
Hualapai Veterans Highway
Huntsville
I 40
Jack Choate Highway
Jacksontown
Jefferson Township
Jim Thorpe Memorial Highway
Keensburg
Kelbaker Road
Kirkersville
La Junta
Lilly Chapel
Lincoln
Lore City
Los Angeles
Lucerne Valley
Lurgan Township
Madrid
Mannford Expressway
Marques Haynes Highway
McKibben
Mesita
Metal Township
Mohave Valley
Monroe Township
Mound City
Mount Olive
Mount Pleasant Township
Mountain Home
NM 68
Napier Township
New Burnside
New Concord
New Grand Chain
New Kingman-Butler
New Lexington
Norris City
North Franklin Township
Nottingham Township
Old Woman Springs Road
Paragon
Peach Springs
Petrified Forest Road
Poplar Bluff
Prairie Grass Trail
Prescott–Flagstaff Highway
Purple Heart Trail
Quaker City
Rabbit Road
Rally Hill
Rancho Cucamonga
Rayado
Rockaway Township
SR 59
San Gabriel
Sand Barrens
Sandia Haven
Santa Monica
Sapulpa
Sedona
Sombrillo
Somerset
Springer
Springer Highway
Stillwater
Stonycreek Township
Strawberry Spring
Sun Valley
Susquehanna Township
Tesuque
Thayer
Thompson Corner
Tulsa
Tuttle
Twentynine Palms
US 412;AR 21
US 60;US 62;MO 77
US 64
US 83
US 87
US Highway 64
Upper Bern Township
Valle Escondido
Vienna
Vincennes
Viola
Ware
West Florence
West Pennsboro Township
Wheeling
Winslow
Yucca Valley
Zanesville
